Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
1.114e-06,2.433097186884047e-06,3.5875239550646804e-06,1.76e-06,6.20412e-07,6.598e-07,1.85258e-06
1.038e-06,1.1113217926530881e-06,2.151088621654e-06,1.757e-06,6.06082e-07,6.802e-07,1.8299e-06
1.032e-06,1.4557788669685139e-06,3.1528795245802334e-06,1.746e-06,6.03711e-07,7.214e-07,1.74948e-06
1.045e-06,3.1367296861282284e-06,8.995986806211226e-07,1.768e-06,6.07629e-07,7.195e-07,1.72887e-06
9.85e-07,1.2341079525522405e-06,2.4758674080608985e-06,1.794e-06,5.90619e-07,7.718e-07,1.72062e-06
8.362e-07,3.814720227539679e-06,2.778178721733062e-07,1.802e-06,5.68866e-07,7.686e-07,1.69381e-06
7.618e-07,1.1520170202324911e-06,7.522688858929456e-07,1.809e-06,5.57938e-07,7.673e-07,1.71753e-06
7.171e-07,3.0596639350627726e-06,2.9179715973719932e-08,1.799e-06,5.47423e-07,7.665e-07,1.77113e-06
7.026e-07,2.466429287874408e-06,3.354448112457737e-06,1.801e-06,5.31959e-07,7.735e-07,1.73711e-06
6.859e-07,3.7690827211593302e-06,1.7539873305743247e-07,1.792e-06,5.24845e-07,7.836e-07,1.74639e-06
6.877e-07,2.390033004197217e-06,1.5862465889416128e-06,1.795e-06,5.30825e-07,7.772e-07,1.73299e-06
6.685e-07,4.6085779981322614e-07,2.87400311173859e-06,1.807e-06,5.33505e-07,7.683e-07,1.72474e-06
6.491e-07,3.336569398691675e-06,4.621587768358637e-09,1.819e-06,5.29485e-07,7.679e-07,1.72371e-06
6.515e-07,1.3357193666279404e-06,2.5380452322712448e-06,1.807e-06,5.44433e-07,7.752e-07,1.69588e-06
6.416e-07,3.5216734648880403e-06,5.756884410235092e-07,1.802e-06,5.46701e-07,7.896e-07,1.67732e-06
6.285e-07,1.6572639284138643e-06,2.2590798477370135e-06,1.797e-06,5.45464e-07,7.731e-07,1.65876e-06
6.239e-07,2.085146353217058e-06,2.003433097460319e-06,1.782e-06,5.43505e-07,7.665e-07,1.60825e-06
6.336e-07,2.858938272678095e-07,2.2534356396693776e-06,1.82e-06,5.72371e-07,7.781e-07,1.6268e-06
6.519e-07,1.5858629672133273e-06,1.1449154012654316e-06,1.247e-05,5.51546e-07,7.905e-07,1.60722e-06
6.631e-07,4.656837943303458e-07,8.902487157471306e-07,9.125e-05,5.46701e-07,8.031e-07,1.58247e-06
6.587e-07,3.982818084184876e-06,1.1586191918267605e-06,0.000462,5.61649e-07,8.02e-07,1.62062e-06
6.618e-07,3.2744840783493335e-06,3.7605729219605053e-06,0.0004705,5.73093e-07,8.234e-07,1.61031e-06
6.729e-07,2.8935879115624697e-06,3.839412570292047e-06,0.0004697,5.90412e-07,8.189e-07,1.60206e-06
6.824e-07,3.129632325381899e-06,6.807214321079615e-07,0.000466,5.83814e-07,8.132e-07,1.67732e-06
6.985e-07,4.396102088735274e-07,2.9173489240783213e-06,0.0004121,5.73711e-07,8.187e-07,1.67423e-06
6.949e-07,2.254668761494613e-06,2.8589054685841086e-06,1.992e-05,6.93505e-07,8.229e-07,1.65979e-06
7.019e-07,1.0247232608741238e-06,1.0093711432632801e-07,3.892e-07,1.39485e-05,8.235e-07,1.58969e-06
7.186e-07,1.5973128757202892e-06,7.19282109693466e-07,2.56e-07,0.000122165,8.321e-07,1.59897e-06
7.239e-07,1.1690950198013459e-06,2.757840675056338e-06,2.417e-07,0.000471134,8.278e-07,1.61753e-06
7.356e-07,2.4342628349361296e-06,2.0164154777645934e-06,1.933e-07,0.000476907,8.284e-07,1.59175e-06
7.429e-07,2.2581614646469348e-06,3.339307415305443e-06,1.755e-07,0.000472784,8.469e-07,1.57629e-06
7.377e-07,2.046131791529995e-06,2.400184263777243e-06,6.927e-07,0.000469278,8.598e-07,1.56598e-06
7.528e-07,3.4264796779355864e-06,1.1977667254217312e-06,2.346e-06,0.000386186,8.684e-07,1.58557e-06
7.591e-07,1.4137101831351688e-06,4.5348061576408626e-07,4.032e-06,1.97216e-05,8.672e-07,1.5866e-06
7.607e-07,1.5690885351057342e-06,1.567323473775449e-06,4.337e-06,5.26907e-07,9.962e-07,1.58454e-06
7.61e-07,2.289558318467967e-06,2.007643733330093e-06,4.325e-06,4.15567e-07,1.332e-05,1.58247e-06
7.544e-07,1.4189052535307506e-06,1.8384811266398725e-07,4.012e-06,2.3567e-07,0.0001339,1.57216e-06
7.567e-07,2.9113522736134354e-06,2.7426466404997503e-06,1.461e-06,3.49897e-07,0.0004691,1.5567e-06
7.7e-07,7.998955764737782e-07,3.2776710967330767e-06,1.624e-06,8.67423e-07,0.0004688,1.56701e-06
7.838e-07,3.892644849907608e-06,2.1368380514821503e-06,1.815e-06,2.41031e-06,0.0004665,1.55258e-06
7.866e-07,1.094771543932652e-06,1.960054292556603e-06,1.747e-06,3.42577e-06,0.0004639,1.59897e-06
7.697e-07,3.109605419060908e-06,1.1668662960239464e-06,1.73e-06,4.3299e-06,0.000313,1.59794e-06
7.646e-07,3.0696053888689917e-06,3.62959418072013e-06,1.841e-06,4.69897e-06,1.34e-05,1.46392e-06
7.539e-07,9.277916366133434e-07,2.696552974551078e-07,1.639e-06,6.0701e-06,4.229e-07,1.58454e-05
1.036e-06,1.5645794099293573e-06,1.4087978043519035e-06,1.716e-06,6.20103e-06,3.27e-07,0.000143093
1.409e-05,3.0797940832232838e-06,1.9471378709382e-06,1.839e-06,1.78866e-06,2.433e-07,0.000502577
0.0001531,1.9463831510038105e-06,1.1214577113072983e-06,1.875e-06,7.73196e-07,1.916e-07,0.000501649
0.0004373,1.6223258158405996e-07,3.666811442561424e-06,1.865e-06,1.33608e-06,5.615e-07,0.00049732
0.0004407,2.883083223828696e-06,7.268404220786526e-07,1.863e-06,1.31546e-06,1.436e-06,0.000492062
0.0004431,1.5982623982789335e-07,9.137459648821729e-07,1.864e-06,1.16598e-06,1.8e-06,0.000399278
0.0004401,1.2916719456772702e-06,1.4017515871147062e-06,1.873e-06,1.01216e-06,4.832e-06,1.4134e-05
8.288e-05,1.022186178765453e-06,2.0080387735411745e-06,1.876e-06,1.0567e-06,5.177e-06,3.12062e-07
3.261e-06,2.2266611615156498e-06,1.084240105756157e-06,1.884e-06,1.15258e-06,4.883e-06,2.20515e-07
8.487e-07,3.92932657658756e-06,1.0566208213168568e-06,1.886e-06,1.16907e-06,3.715e-06,1.9299e-07
3.837e-07,3.9614171418360744e-07,3.397006297677322e-06,1.883e-06,1.18144e-06,9.497e-07,1.83196e-07
2.286e-07,7.050029507699396e-08,1.9169345390256675e-06,1.892e-06,1.15052e-06,1.414e-06,1.77835e-07
3.651e-07,1.9468179012985734e-06,3.963716358998652e-06,1.904e-06,1.07835e-06,1.323e-06,1.74021e-07
9.845e-07,6.85139523970963e-07,2.412005429091485e-06,1.922e-06,8.4268e-07,1.257e-06,2.88763e-07
3.582e-06,3.1198258844108568e-06,3.43953410140099e-06,1.903e-06,8.47526e-07,1.439e-06,3.31134e-06
3.513e-06,3.955313694839468e-06,3.6919934209928136e-07,1.862e-06,8.77732e-07,8.399e-07,4.88144e-06
2.127e-06,2.6679656535845103e-06,8.649941067604225e-07,1.873e-06,9.14845e-07,1.186e-06,2.7134e-06
3.681e-06,1.4208062043565368e-06,2.294067413796232e-06,1.877e-06,1.00175e-06,1.225e-06,1.69794e-06
3.416e-06,8.150553964610441e-07,2.595255491219224e-06,1.861e-06,1.08454e-06,9.748e-07,1.29278e-06
7.744e-07,3.0223080246702107e-06,3.1988441723452463e-06,1.856e-06,1.10412e-06,8.277e-07,5.91649e-07
