Epoch,Loss fuction,Learning accuracy,Learning rate
1,1.3313102263670702,0.47,0.0001
2,1.131995072731605,0.77,0.0001
3,1.0264292313502386,0.88,0.0001
4,0.8936083225103525,0.99,0.0001
5,0.7292691698441138,1.0,0.0001
6,0.5983798274627099,1.0,0.0001
7,0.4092140816725217,1.0,0.0001
8,0.23958495144660658,1.0,0.0001
9,0.16097682771774438,1.0,0.0001
10,0.0991981912117738,1.0,0.0001
11,0.057324025206840955,1.0,0.0001
12,0.03984168257850867,1.0,0.0001
13,0.028900936245918274,1.0,0.0001
14,0.021727837049044095,1.0,0.0001
15,0.016115139310176555,1.0,0.0001
16,0.012655735159149537,1.0,0.0001
17,0.01029929081694438,1.0,0.0001
18,0.0074528401287702415,1.0,0.0001
19,0.0060619505910346145,1.0,0.0001
20,0.005107300964972148,1.0,0.0001
21,0.003992812493099616,1.0,0.0001
22,0.0031219447533098552,1.0,0.0001
23,0.002255481291705599,1.0,0.0001
24,0.0021004287633471764,1.0,0.0001
25,0.0015927368076518178,1.0,0.0001
26,0.0013291123502243024,1.0,0.0001
27,0.0012257699765121709,1.0,0.0001
28,0.0010563704328468214,1.0,0.0001
29,0.0008253792229180152,1.0,0.0001
30,0.000767268835960959,1.0,0.0001
31,0.0006764787876118834,1.0,0.0001
32,0.0006491226735166633,1.0,0.0001
33,0.0005301218569421998,1.0,0.0001
34,0.0005340958484269392,1.0,0.0001
35,0.0004222297127573536,1.0,0.0001
36,0.00036219698421728727,1.0,0.0001
37,0.00033368595625058963,1.0,0.0001
38,0.00031792874842022476,1.0,0.0001
39,0.00029878401815389784,1.0,0.0001
40,0.00030126280706519116,1.0,0.0001
41,0.0002508027649198014,1.0,0.0001
42,0.0002624839880109693,1.0,0.0001
43,0.00020966883592056826,1.0,0.0001
44,0.0002236420393903525,1.0,0.0001
45,0.00019232555664180277,1.0,0.0001
46,0.00018207869008899882,1.0,0.0001
47,0.00019286253910440093,1.0,0.0001
48,0.00016884953388048767,1.0,0.0001
49,0.00014823911792168824,1.0,0.0001
50,0.00015265259963388627,1.0,0.0001
51,0.0001534334587631747,1.0,0.0001
52,0.00013803784699680714,1.0,0.0001
53,0.00011700930134303725,1.0,0.0001
54,0.00011380702478793234,1.0,0.0001
55,0.0001097534069021304,1.0,0.0001
56,9.93430596561386e-05,1.0,0.0001
57,9.721023581313112e-05,1.0,0.0001
58,8.835182569992657e-05,1.0,0.0001
59,9.758489725824732e-05,1.0,0.0001
60,9.327219203651811e-05,1.0,0.0001
61,7.691301121107805e-05,1.0,0.0001
62,8.409386702204266e-05,1.0,0.0001
63,7.275782991200686e-05,1.0,0.0001
64,6.990178707593049e-05,1.0,0.0001
65,7.524290637005694e-05,1.0,0.0001
66,6.257148113665887e-05,1.0,0.0001
67,6.742846212896089e-05,1.0,0.0001
68,5.971212046391044e-05,1.0,0.0001
69,6.417733255567818e-05,1.0,0.0001
70,5.644741171496347e-05,1.0,0.0001
71,5.947367278097842e-05,1.0,0.0001
72,5.570318955086315e-05,1.0,0.0001
73,4.879585573619876e-05,1.0,0.0001
74,4.8540015436279085e-05,1.0,0.0001
75,4.6586288730255685e-05,1.0,0.0001
76,4.724853156053891e-05,1.0,0.0001
77,4.268707226191719e-05,1.0,0.0001
78,4.170259853708558e-05,1.0,0.0001
79,4.5472121900484825e-05,1.0,0.0001
80,4.311932039294893e-05,1.0,0.0001
81,3.9312637594635955e-05,1.0,0.0001
82,3.971740751204869e-05,1.0,0.0001
83,3.618981029901009e-05,1.0,0.0001
84,3.5242588077940476e-05,1.0,0.0001
85,3.470757712001124e-05,1.0,0.0001
86,3.30860213860153e-05,1.0,0.0001
87,3.571410539174954e-05,1.0,0.0001
88,3.1810764015132845e-05,1.0,0.0001
89,2.9483382464744725e-05,1.0,0.0001
90,3.26427156183994e-05,1.0,0.0001
91,3.091773564497439e-05,1.0,0.0001
92,3.148057756054466e-05,1.0,0.0001
93,2.8040070761702598e-05,1.0,0.0001
94,2.6320808011895188e-05,1.0,0.0001
95,2.4597831445414788e-05,1.0,0.0001
96,2.6144605166896676e-05,1.0,0.0001
97,2.7540716753439763e-05,1.0,0.0001
98,2.442595499675148e-05,1.0,0.0001
99,2.405319369595068e-05,1.0,0.0001
100,2.245971280409811e-05,1.0,0.0001
