Epoch,Loss fuction,Learning accuracy,Learning rate
1,1.307549027296213,0.75,0.0001
2,1.1853568920722375,0.86,0.0001
3,1.0472780190981352,0.97,0.0001
4,0.8823809256920447,0.97,0.0001
5,0.7132447178547199,0.99,0.0001
6,0.5360243595563449,0.99,0.0001
7,0.3689772211588346,0.99,0.0001
8,0.24689853764497316,0.99,0.0001
9,0.1659547067605532,0.99,0.0001
10,0.10473421961069107,0.99,0.0001
11,0.07012964097353128,0.99,0.0001
12,0.04903516202018811,0.99,0.0001
13,0.036003642357312717,0.99,0.0001
14,0.028286233401069276,0.99,0.0001
15,0.02176239900290966,0.99,0.0001
16,0.018488741408173855,0.99,0.0001
17,0.01383359651439465,0.99,0.0001
18,0.011522631304195294,0.99,0.0001
19,0.009270747048923602,0.99,0.0001
20,0.007577220873477368,0.99,0.0001
21,0.006800140397479901,0.99,0.0001
22,0.0056326363522272846,0.99,0.0001
23,0.004792539940144007,0.99,0.0001
24,0.003992590498035917,0.99,0.0001
25,0.003209750776967177,0.99,0.0001
26,0.0028339421484046257,0.99,0.0001
27,0.002399515790434984,0.99,0.0001
28,0.0021999610158113334,0.99,0.0001
29,0.0017517680445542703,0.99,0.0001
30,0.0014558389979916124,0.99,0.0001
31,0.0014493463901229776,0.99,0.0001
32,0.0011290648343184819,0.99,0.0001
33,0.0010576440970628308,0.99,0.0001
34,0.0009746624004597274,0.99,0.0001
35,0.0008925605395164054,0.99,0.0001
36,0.0008016213362749952,0.99,0.0001
37,0.0008336996095469937,0.99,0.0001
38,0.0006668226336702132,0.99,0.0001
39,0.0006178161509943983,0.99,0.0001
40,0.0005856674688402563,0.99,0.0001
41,0.0005438702646642923,0.99,0.0001
42,0.0005263872713280412,0.99,0.0001
43,0.0004554849740368529,0.99,0.0001
44,0.00040525641704264743,0.99,0.0001
45,0.0004072344812672012,0.99,0.0001
46,0.00039069973102484184,0.99,0.0001
47,0.0003217864029396039,0.99,0.0001
48,0.00031266048944626865,0.99,0.0001
49,0.0002722549375343638,0.99,0.0001
50,0.000261846141746411,0.99,0.0001
51,0.0002517944611519432,0.99,0.0001
52,0.0002240127136106961,0.99,0.0001
53,0.00020833299472892226,0.99,0.0001
54,0.00020510136808017985,0.99,0.0001
55,0.00018762522533786698,0.99,0.0001
56,0.0001751515295696803,0.99,0.0001
57,0.000172268678747619,0.99,0.0001
58,0.0001550863705163535,0.99,0.0001
59,0.00015430628487732835,0.99,0.0001
60,0.00014820644159604295,0.99,0.0001
61,0.00013821504398947582,0.99,0.0001
62,0.0001295648141352173,0.99,0.0001
63,0.00013320419944088475,0.99,0.0001
64,0.00012104576419985208,0.99,0.0001
65,0.00011784166361814222,0.99,0.0001
66,0.00010169765468722639,0.99,0.0001
67,0.00010644328610326808,0.99,0.0001
68,9.748678712639958e-05,0.99,0.0001
69,9.59075645928701e-05,0.99,0.0001
70,9.04486615371962e-05,0.99,0.0001
71,8.940189190280552e-05,0.99,0.0001
72,8.40857834331333e-05,0.99,0.0001
73,7.479794126433822e-05,0.99,0.0001
74,7.697005471877324e-05,0.99,0.0001
75,7.133433134115946e-05,0.99,0.0001
76,7.142333477251948e-05,0.99,0.0001
77,6.572447203395244e-05,0.99,0.0001
78,6.456562662676263e-05,0.99,0.0001
79,6.281790970556009e-05,0.99,0.0001
80,5.98676865942812e-05,0.99,0.0001
81,6.113077548574298e-05,0.99,0.0001
82,5.762438656977163e-05,0.99,0.0001
83,5.3481229070502406e-05,0.99,0.0001
84,5.3177239281537295e-05,0.99,0.0001
85,5.251699342177464e-05,0.99,0.0001
86,4.857745835369524e-05,0.99,0.0001
87,4.904744016060319e-05,0.99,0.0001
88,4.6373712953377086e-05,0.99,0.0001
89,4.7570944633872176e-05,0.99,0.0001
90,4.6245273551903665e-05,0.99,0.0001
91,4.716327832563995e-05,0.99,0.0001
92,4.039844889820625e-05,0.99,0.0001
93,4.113239069388678e-05,0.99,0.0001
94,4.26397312437005e-05,0.99,0.0001
95,3.810666790881302e-05,0.99,0.0001
96,3.7810761288990485e-05,0.99,0.0001
97,3.6488884618917764e-05,0.99,0.0001
98,3.5251694638505935e-05,0.99,0.0001
99,3.4424272458776475e-05,0.99,0.0001
100,3.410186316334428e-05,0.99,0.0001
