Epoch,Loss fuction,Learning accuracy,Learning rate
1,0.8894592547416686,0.805,0.001
2,0.30858354687690737,0.81,0.001
3,0.30402460813522336,0.825,0.001
4,0.2563126227259636,0.835,0.001
5,0.2368612039089203,0.97,0.001
6,0.23638304322957993,0.97,0.001
7,0.21609690248966218,0.885,0.001
8,0.23074124455451966,0.815,0.001
9,0.18696627169847488,0.885,0.001
10,0.17332205802202225,0.93,0.001
11,0.19145735651254653,0.945,0.001
12,0.12161215499043465,0.965,0.001
13,0.11870912030339241,0.97,0.001
14,0.09841103114187717,0.96,0.001
15,0.09130094211548567,0.97,0.001
16,0.0662209103256464,0.98,0.001
17,0.06228152669966221,0.995,0.001
18,0.061221793591976166,0.99,0.001
19,0.04479716490954161,0.97,0.001
20,0.04254061808809638,0.985,0.0005
21,0.043109801767859605,0.99,0.0005
22,0.051966322343796494,0.975,0.0005
23,0.03461054884362966,0.995,0.0005
24,0.03264952393714338,0.985,0.0005
25,0.02649284108541906,0.985,0.0005
26,0.024581769509240986,0.995,0.0005
27,0.026990308836102487,0.98,0.0005
28,0.04419673401105683,0.99,0.0005
29,0.028854936147108674,0.995,0.0005
30,0.024257659923750906,0.99,0.0005
31,0.021308181900531055,0.98,0.0005
32,0.025822000940097498,0.995,0.0005
33,0.022512437594123184,0.98,0.0005
34,0.01882347044418566,0.99,0.0005
35,0.024977759411558508,0.995,0.0005
36,0.02341298502404243,0.995,0.0005
37,0.018721118089742958,0.995,0.0005
38,0.01909590959607158,0.995,0.0005
39,0.016130115262931212,0.99,0.0005
40,0.01654422369785607,0.99,0.00025
41,0.016780757568776606,0.995,0.00025
42,0.015553870701696724,0.995,0.00025
43,0.013805712945759297,0.995,0.00025
44,0.013823085457552224,0.99,0.00025
45,0.016897245913278312,0.985,0.00025
46,0.01533187146356795,0.99,0.00025
47,0.013765126338694245,0.995,0.00025
48,0.012256201128475369,0.985,0.00025
49,0.013407147810794414,0.985,0.00025
50,0.01148919374216348,0.99,0.00025
51,0.0144746327213943,0.985,0.00025
52,0.01146688589011319,0.985,0.00025
53,0.01191079599724617,0.99,0.00025
54,0.013756083758780733,0.99,0.00025
55,0.011153541530948132,0.99,0.00025
56,0.010612082766019739,0.99,0.00025
57,0.011153922412486281,0.985,0.00025
58,0.014317182608647273,0.995,0.00025
59,0.011172381578944623,0.99,0.00025
60,0.009124260562239216,0.99,0.000125
61,0.009157598516903818,0.99,0.000125
62,0.009442310349550098,0.99,0.000125
63,0.009105842610588298,0.99,0.000125
64,0.010000232974998653,0.99,0.000125
65,0.009759076009504496,0.99,0.000125
66,0.008615539903985336,0.99,0.000125
67,0.008128731590986718,0.99,0.000125
68,0.008259315226459875,0.99,0.000125
69,0.010092016480630264,0.99,0.000125
70,0.008560951664112509,0.99,0.000125
71,0.009364375366349122,0.99,0.000125
72,0.008306886290665717,0.99,0.000125
73,0.0073597379185957835,0.99,0.000125
74,0.008704176784958691,0.99,0.000125
75,0.009272512332026963,0.99,0.000125
76,0.00931669915211387,0.985,0.000125
77,0.009967540533398277,0.99,0.000125
78,0.007600831043091603,0.99,0.000125
79,0.008155913544469514,0.99,0.000125
80,0.009036882276413962,0.99,6.25e-05
81,0.007233180844050367,0.99,6.25e-05
82,0.008882646855781787,0.99,6.25e-05
83,0.0069228753200150095,0.99,6.25e-05
84,0.007087219043169171,0.99,6.25e-05
85,0.006804601967451163,0.99,6.25e-05
86,0.006340656960383058,0.99,6.25e-05
87,0.0066306177584192485,0.99,6.25e-05
88,0.006236707710195332,0.99,6.25e-05
89,0.007166638855123892,0.99,6.25e-05
