Epoch,Loss fuction,Learning accuracy,Learning rate
1,0.8930751276016236,0.775,0.001
2,0.3529896464943886,0.805,0.001
3,0.2998397064208984,0.82,0.001
4,0.26492206513881683,0.805,0.001
5,0.28646407783031463,0.955,0.001
6,0.23775578141212464,0.805,0.001
7,0.2560770303010941,0.815,0.001
8,0.23885155886411666,0.805,0.001
9,0.22488106697797774,0.89,0.001
10,0.20207908064126967,0.835,0.001
11,0.22208621531724929,0.965,0.001
12,0.17457437992095948,0.955,0.001
13,0.14025209039449693,0.915,0.001
14,0.12628188908100127,0.965,0.001
15,0.13137634463608264,0.94,0.001
16,0.09003731533885002,0.97,0.001
17,0.14190934032201766,0.97,0.001
18,0.1065862562507391,0.98,0.001
19,0.06303430661559105,0.98,0.001
20,0.05097823165357113,0.98,0.0005
21,0.04872481385245919,0.98,0.0005
22,0.063415912296623,0.955,0.0005
23,0.06400887433439494,0.985,0.0005
24,0.04314960457384586,0.985,0.0005
25,0.03901600509881973,0.985,0.0005
26,0.0365451387502253,0.985,0.0005
27,0.04667056614533067,0.99,0.0005
28,0.03679022373631596,0.99,0.0005
29,0.04005019461736083,0.99,0.0005
30,0.03226705425418913,0.985,0.0005
31,0.026416977788321673,0.985,0.0005
32,0.024785425206646325,0.99,0.0005
33,0.026616516364738343,0.985,0.0005
34,0.027192437620833516,0.985,0.0005
35,0.028343501538038253,0.99,0.0005
36,0.026245084246620535,0.99,0.0005
37,0.026885529519058763,0.99,0.0005
38,0.02392424234189093,0.99,0.0005
39,0.026965310883242638,0.995,0.0005
40,0.020383644476532937,0.995,0.00025
41,0.018521457661408933,0.99,0.00025
42,0.020252044919179753,0.995,0.00025
43,0.01844396544620395,0.985,0.00025
44,0.018661546364892274,0.985,0.00025
45,0.01804972597397864,0.995,0.00025
46,0.01691849293652922,0.995,0.00025
47,0.018234021855751053,0.995,0.00025
48,0.016379191298037766,0.99,0.00025
49,0.02478270435007289,0.99,0.00025
50,0.015516279831063002,0.99,0.00025
51,0.016923234248533845,0.995,0.00025
52,0.01782640364486724,0.995,0.00025
53,0.017855388305615633,0.99,0.00025
54,0.02165247716009617,0.99,0.00025
55,0.017073976150713863,0.995,0.00025
56,0.014157117868307978,0.995,0.00025
57,0.016001115816179662,0.995,0.00025
58,0.013712596536497585,0.985,0.00025
59,0.015377799029229209,0.99,0.00025
60,0.014771419770549982,0.995,0.000125
61,0.014645870297681541,0.99,0.000125
62,0.011618437889264897,0.995,0.000125
63,0.012210816112346947,0.995,0.000125
64,0.012880718396045267,0.995,0.000125
65,0.010717745828442276,0.995,0.000125
66,0.012750878576189279,0.995,0.000125
67,0.012626099607441574,0.995,0.000125
68,0.009849776384653524,0.99,0.000125
69,0.01075213982257992,0.995,0.000125
70,0.010053810833487659,0.995,0.000125
71,0.010924191735684872,0.995,0.000125
72,0.01241921198030468,0.995,0.000125
73,0.009801699203671887,0.995,0.000125
74,0.010832521225092933,0.995,0.000125
75,0.010026077990187333,0.995,0.000125
76,0.01031729748705402,1.0,0.000125
77,0.00950352419866249,1.0,0.000125
78,0.009681411059573293,0.995,0.000125
79,0.008924475359963253,0.995,0.000125
80,0.009796566846780479,0.995,6.25e-05
81,0.009543230207636953,0.995,6.25e-05
82,0.008486667083343492,0.995,6.25e-05
83,0.008564901194768026,0.995,6.25e-05
84,0.01026522168511292,0.995,6.25e-05
85,0.009066095738089643,0.995,6.25e-05
86,0.009756703104358166,0.995,6.25e-05
87,0.009171684302564244,0.995,6.25e-05
88,0.009052777516189962,0.995,6.25e-05
89,0.00919861544854939,0.995,6.25e-05
90,0.008747697828803212,0.995,6.25e-05
91,0.008464011933247093,0.995,6.25e-05
92,0.008712778424378485,0.995,6.25e-05
93,0.00845700795762241,1.0,6.25e-05
94,0.008096321916673333,0.995,6.25e-05
