Column_1,Column_2,Column_3,Column_4,Column_5
0.42483,0.06617,0.2278,0.08036,0.11575
0.41871,0.0656,0.22315,0.07824,0.11478
0.4222,0.06504,0.2229,0.07888,0.11478
0.42308,0.06504,0.21972,0.07782,0.11332
0.41958,0.06466,0.21654,0.07867,0.11114
0.41084,0.06504,0.21801,0.07994,0.11114
0.40734,0.06447,0.22143,0.07867,0.11017
0.41259,0.06485,0.22315,0.07761,0.1092
0.41084,0.0656,0.22217,0.07676,0.10968
0.4222,0.06712,0.22339,0.07549,0.1092
0.41346,0.06769,0.22241,0.0757,0.10968
0.40734,0.06959,0.21703,0.07485,0.1092
0.42745,0.06978,0.32371,0.07422,0.10895
0.41608,0.06978,2.12699,0.07422,0.1075
0.40997,0.08362,3.40176,0.07294,0.10628
0.41434,2750.85324,3763.3839,3085.87786,0.10628
0.40385,3066.36329,3758.61267,3051.59033,2696.7241
0.41346,3134.14865,3774.51676,3055.7464,2617.22883
0.42395,3156.33295,3861.98923,3080.68278,2604.12521
0.41871,3178.51725,3895.38782,3078.60475,2588.40087
0.41696,3179.74972,3924.01517,3075.4877,2580.5387
0.42395,3192.07433,3941.50966,3086.91688,2581.41228
0.41958,3217.95601,3919.24394,3098.34606,2591.0216
0.41521,3231.51308,3936.73844,3103.54114,2597.13662
0.41521,3235.21047,3973.31784,3108.73622,2602.37806
0.41521,3257.39477,3979.67947,3117.04835,2606.74594
0.40734,3272.1843,3973.31784,3123.28244,2609.36666
0.40997,3277.11414,3939.91926,3129.51654,2611.98738
0.40997,3286.97383,3919.24394,3132.63359,2612.86096
0.4222,3300.53091,3916.06313,3134.71162,2618.1024
0.41259,3311.62306,3924.01517,3139.9067,2621.5967
0.41434,3323.94767,3938.32885,3147.17981,2621.5967
0.40647,3338.7372,3909.70149,3153.41391,2629.45887
0.40734,3346.13197,3922.42476,3159.64801,2636.44746
0.40472,3357.22412,3919.24394,3161.72604,2646.05678
0.41608,3368.31627,3931.96721,3171.07718,2653.91895
0.41346,0.09101,0.87815,0.08842,2655.6661
0.40647,0.04096,0.26083,0.14483,0.20505
0.39073,0.04816,0.43137,0.15204,0.2264
0.39948,0.06693,0.45461,0.15925,0.25334
0.40035,0.07319,0.69073,0.17918,0.25334
0.39248,0.08115,0.65794,0.17112,0.23878
0.38811,0.07717,0.72621,0.16052,0.23611
0.39598,0.07205,0.76951,0.16985,0.22252
0.39773,0.07698,0.7519,0.15649,0.21378
0.41346,0.07869,0.69978,0.155,0.21136
0.40997,0.07414,0.52679,0.15161,0.20602
0.41696,0.0785,0.4874,0.14695,0.19947
0.3986,0.07281,0.47737,0.14037,0.19364
0.40035,0.07072,0.47003,0.13507,0.18466
