Column_1,Column_2,Column_3,Column_4,Column_5
0.07738,0.01232,0.0008279,0.16769,0.01615
0.07738,0.01253,0.0008279,0.16594,0.0136
0.0771,0.01242,0.000724413,0.16506,0.01303
0.0771,0.01263,0.000724413,0.16477,0.01162
0.07738,0.01242,0.000724413,0.1636,0.01133
0.0771,0.01232,0.000620925,0.16244,0.00963
0.0771,0.01253,0.000724413,0.16185,0.00822
0.07766,0.01263,0.000724413,0.15981,0.00822
0.07766,0.01253,0.000724413,0.15894,0.00935
0.07738,0.01273,0.000517438,0.15836,0.00878
0.07653,0.01273,0.000620925,0.15806,0.00793
0.07653,0.01263,0.000620925,0.15661,0.00793
0.07681,0.01263,0.000620925,0.15573,0.00822
0.07738,0.01242,0.000620925,0.15602,0.00765
0.07681,0.01212,0.000724413,0.15661,0.04336
2337.47529,0.01242,0.000724413,2319.1601,2877.16067
2293.41994,0.01273,0.000724413,3367.979,2994.19099
2268.85061,0.01263,0.000724413,3283.9895,2947.57722
2260.37842,0.01263,0.0008279,3253.54331,2894.02097
2261.22564,0.01263,0.0008279,3240.94488,2872.20176
2251.05902,0.01232,0.0008279,3227.29659,2858.3168
2247.67015,0.01212,0.000724413,3213.64829,2848.39898
2249.36459,0.01212,0.0008279,3211.54856,2852.36611
2246.82293,0.01202,0.0008279,3206.29921,2853.35789
2233.26744,0.01232,0.0008279,3200,2851.37433
2233.26744,0.01242,0.0008279,3208.39895,2841.4565
2233.26744,0.01232,0.000724413,3212.59843,2848.39898
2238.35075,0.01232,0.000620925,3205.24934,2851.37433
2239.19797,0.01232,0.000724413,3209.44882,2855.34146
2237.50353,0.01222,0.000931388,3210.49869,2856.33324
2240.8924,0.01212,0.000724413,3209.44882,2854.34967
2240.8924,0.01232,0.0008279,3207.34908,2855.34146
2236.65631,0.01222,0.0008279,3203.14961,2859.30859
2234.96188,0.01232,0.000724413,3204.19948,2865.25928
2236.65631,0.01242,0.000724413,3212.59843,2860.30037
2239.19797,0.01242,0.0008279,3208.39895,2872.20176
0.13612,0.01253,0.0008279,0.19685,0.09861
0.13075,0.01253,0.000724413,0.18489,0.10938
0.15419,0.01263,0.0008279,0.21318,0.12836
0.14685,0.01273,0.000724413,0.2161,0.12638
0.1412,0.01283,0.000517438,0.21231,0.13148
0.14487,0.01283,0.000517438,0.21872,0.12836
0.14544,0.01263,0.000620925,0.2266,0.12836
0.14036,0.01273,0.000620925,0.23155,0.13007
0.13527,0.01293,0.000620925,0.23564,0.12893
0.13019,0.01293,0.000620925,0.23476,0.12213
0.12228,0.01273,0.000517438,0.23622,0.11703
0.11776,0.01242,0.000517438,0.23593,0.11108
0.1107,0.01253,0.00041395,0.23535,0.10485
0.1059,0.01242,0.00041395,0.2336,0.10031
