Column_1,Column_2,Column_3,Column_4,Column_5
0.87551,0.40871,1.11597,6.77686,0.10946
0.86132,0.40806,1.06714,6.70441,0.10841
0.82613,0.40611,1.06396,6.69406,0.10841
0.7821,0.40611,1.06152,6.66922,0.10735
0.7786,0.40546,1.09448,6.62989,0.10735
0.79486,0.40351,1.05884,6.45394,0.10735
0.80556,0.40351,1.05981,6.29663,0.10735
0.85226,0.40318,1.11133,6.22832,0.10735
0.87819,0.40156,1.13989,6.24902,0.10841
0.88086,0.40091,1.14673,6.24074,0.10946
0.88889,0.40123,1.1582,6.14966,0.10946
0.88436,0.40026,1.12451,6.04616,0.10946
0.89218,0.39961,1.11572,5.94887,0.11052
0.89527,0.39896,6.46094,10.45933,0.11158
0.89671,0.39994,43.2627,37.89464,0.11264
2361.11111,3021.4425,3155.3125,3550.70379,1246.66526
2706.79012,3027.94022,3214.88281,3516.54937,1318.6534
2719.1358,3025.50357,3251.99219,3506.19954,1352.53017
2736.62551,3032.81352,3278.35938,3510.33947,1344.06098
2747.94239,3046.62118,3266.64063,3509.30449,1339.82638
2788.06584,3053.93112,3255.89844,3519.65432,1348.29557
2789.09465,3060.42885,3240.27344,3528.96916,1360.99936
2798.35391,3071.79987,3230.50781,3538.284,1356.76477
2797.3251,3085.60754,3227.57813,3526.89919,1356.76477
2790.12346,3090.48083,3224.64844,3537.24902,1360.99936
2794.23868,3096.97856,3220.74219,3538.284,1360.99936
2799.38272,3099.4152,3221.71875,3547.59884,1373.70315
2799.38272,3102.66407,3222.69531,3558.98365,1377.93775
2801.44033,3107.53736,3218.78906,3557.94866,1377.93775
2808.64198,3115.65952,3217.8125,3554.84372,1382.17235
2826.13169,3118.90838,3215.85938,3552.77375,1386.40694
2834.36214,3118.90838,3217.8125,3553.80874,1386.40694
2827.16049,3122.15724,3213.90625,3553.80874,1386.40694
2822.01646,3120.53281,3220.74219,3565.19354,1390.64154
2824.07407,3122.96946,3219.76563,3566.22852,1390.64154
2826.13169,3126.21832,3220.74219,3574.50838,1386.40694
2.40123,0.37622,2.05908,3.32002,0.04954
0.37243,0.39929,0.10571,4.27841,0.06394
0.46461,0.43242,0.27295,4.88698,0.07029
0.63971,0.44867,0.45996,5.71497,0.07347
0.79115,0.44574,0.74194,7.10391,0.07347
1.02058,0.46069,0.80688,7.59242,0.08406
1.09465,0.46101,0.73804,7.68764,0.08512
0.88539,0.46491,0.89404,7.88843,0.09253
0.79465,0.46361,0.84863,7.85945,0.09253
0.95864,0.46069,0.81958,7.08528,0.08935
1.13374,0.46134,0.84888,6.70027,0.09676
1.08436,0.46199,0.8938,8.48665,0.0957
1.09053,0.46231,0.91895,8.61085,0.09358
1.03765,0.46199,0.90576,8.65639,0.0957
