Column_1,Column_2,Column_3,Column_4,Column_5
0.06929,0.17907,0.16044,0.09874,0.07
0.06852,0.17844,0.15985,0.0973,0.06941
0.06775,0.17718,0.16074,0.0973,0.06912
0.06801,0.17591,0.15866,0.09615,0.06735
0.06904,0.17528,0.15747,0.09558,0.06765
0.06904,0.17497,0.15658,0.09501,0.06735
0.06981,0.17434,0.15599,0.09501,0.06647
0.07135,0.17402,0.1548,0.09558,0.06529
0.07161,0.17308,0.15273,0.09501,0.06412
0.07135,0.17339,0.15302,0.09501,0.06235
0.07213,0.17182,0.15332,0.09386,0.06265
0.07135,0.17182,0.15214,0.09414,0.06118
0.07239,0.17119,0.15184,0.09242,0.05971
0.07187,0.16835,0.15065,0.09185,0.05853
0.07187,0.16803,0.15095,0.09529,0.41765
4076.24936,2216.51955,2403.08422,2692.30769,3098.11765
4941.78259,2619.04161,2295.13642,3160.73479,2957.29412
4917.05307,2593.44262,2260.26097,3159.58668,2904.35294
4937.661,2584.61538,2252.78766,3159.58668,2866.23529
4890.26275,2583.73266,2254.4484,3160.73479,2855.64706
4877.89799,2597.85624,2248.63582,3152.69805,2844
4900.56672,2605.80076,2247.80546,3163.031,2840.82353
4906.7491,2614.62799,2242.82325,3154.99426,2835.52941
4910.87069,2628.75158,2237.01068,3157.29047,2835.52941
4914.99227,2631.39975,2239.50178,3161.88289,2835.52941
4917.05307,2630.51702,2252.78766,3171.06774,2829.17647
4919.11386,2622.57251,2253.61803,3174.51206,2830.23529
4919.11386,2622.57251,2256.9395,3180.25258,2827.05882
4917.05307,2619.92434,2261.09134,3177.95637,2828.11765
4910.87069,2624.33796,2252.78766,3180.25258,2824.94118
4902.62751,2626.98613,2252.78766,3179.10448,2817.52941
4906.7491,2627.86885,2258.60024,3177.95637,2813.29412
4906.7491,2625.22068,2262.75208,3181.40069,2812.23529
4906.7491,2628.75158,2265.24318,3189.43743,2812.23529
4906.7491,2634.04792,2267.73428,3192.88175,2812.23529
4912.93148,2635.81337,2268.56465,3198.62227,2813.29412
0.10072,0.08008,0.05753,0.0775,0.05794
0.09557,0.18001,0.13108,0.1039,0.10941
0.11051,0.20555,0.16251,0.13662,0.13618
0.12468,0.24433,0.18654,0.14409,0.14853
0.13498,0.25599,0.1895,0.1527,0.14912
0.12828,0.26293,0.18149,0.15184,0.16118
0.12391,0.27112,0.18179,0.14638,0.17
0.12416,0.26797,0.18031,0.14294,0.16794
0.12107,0.25631,0.18238,0.13749,0.15824
0.11489,0.25189,0.18416,0.13921,0.14647
0.11128,0.25126,0.18476,0.13404,0.14353
0.10845,0.24685,0.18031,0.13203,0.14324
0.11334,0.24905,0.17883,0.13433,0.14147
0.11206,0.25032,0.17972,0.13691,0.13471
