Column_1,Column_2,Column_3,Column_4,Column_5
0.04993,0.04837,0.05026,0.15072,0.16784
0.04959,0.04837,0.05026,0.151,0.16563
0.04948,0.04837,0.05014,0.15014,0.16422
0.04926,0.04837,0.04991,0.14928,0.16342
0.04904,0.04849,0.05002,0.14814,0.1602
0.04904,0.04826,0.05002,0.1467,0.1602
0.04915,0.04802,0.05002,0.1467,0.15799
0.04948,0.04791,0.04967,0.14613,0.15739
0.04937,0.04779,0.04932,0.14585,0.15477
0.04915,0.04791,0.0492,0.14556,0.15317
0.04893,0.04791,0.0492,0.14413,0.15176
0.04948,0.04802,0.04932,0.14298,0.14975
0.04959,0.04802,0.04908,0.14183,0.14995
0.04959,0.04779,0.04908,0.16705,0.20824
0.04937,0.04779,0.04908,2559.08309,1919.19598
0.04948,0.04791,0.04897,2637.93696,1774.97487
0.04948,0.04791,0.04897,2599.42693,1734.17085
0.04926,0.04779,0.04897,2597.59312,1732.0603
0.04893,0.04779,0.04885,2581.08883,1731.35678
0.04915,0.04814,0.04897,2574.67049,1732.0603
0.04915,0.04814,0.04897,2578.33811,1729.94975
0.04893,0.04837,0.04885,2584.75645,1722.91457
0.04882,0.04826,0.04873,2615.93123,1724.32161
0.0487,0.04849,0.04885,2638.85387,1720.80402
0.04848,0.0486,0.04897,2643.4384,1709.54774
0.04837,0.0486,0.04897,2643.4384,1714.47236
0.04848,0.0486,0.04885,2634.26934,1715.17588
0.04859,0.04837,0.04908,2636.10315,1711.65829
0.04882,0.04849,0.04873,2636.10315,1709.54774
0.04848,0.04837,0.04873,2637.02006,1708.84422
0.04859,0.0486,0.04897,2638.85387,1715.8794
0.04859,0.0486,0.04908,2643.4384,1714.47236
0.04804,0.0486,0.04908,2637.93696,1713.76884
0.0477,0.0486,0.04897,2637.02006,1710.95477
0.0477,0.04837,0.04908,2640.68768,1713.06533
0.04815,0.04826,0.04885,2306.01719,1624.42211
0.04793,0.04826,0.04885,0.11547,0.0806
0.04815,0.04837,0.04885,0.1341,0.1405
0.04826,0.04849,0.04873,0.17106,0.19116
0.04826,0.04826,0.04885,0.18825,0.23337
0.04815,0.04826,0.04897,0.1937,0.18412
0.04793,0.04826,0.04885,0.19312,0.18513
0.04826,0.04826,0.04897,0.19255,0.18653
0.04804,0.04814,0.04873,0.19083,0.19377
0.04759,0.04837,0.04861,0.19198,0.19397
0.04759,0.04837,0.04861,0.19542,0.18894
0.04815,0.04849,0.04861,0.19542,0.18854
0.04826,0.04837,0.04873,0.19484,0.19678
0.04815,0.04849,0.04873,0.19513,0.19015
0.04781,0.04837,0.04861,0.19169,0.18915
