Epoch,Loss fuction,Learning accuracy,Learning rate
1,0.7515991592407226,0.83,0.001
2,0.2935984653234482,0.82,0.001
3,0.23956989914178847,0.93,0.001
4,0.21365137308835982,0.825,0.001
5,0.2326071158051491,0.79,0.001
6,0.2128200986981392,0.91,0.001
7,0.18608844310045242,0.945,0.001
8,0.18737308502197267,0.85,0.001
9,0.15472570389509202,0.925,0.001
10,0.12861169055104255,0.955,0.001
11,0.11058457493782044,0.95,0.001
12,0.09832950338721275,0.955,0.001
13,0.10045802637934685,0.88,0.001
14,0.09874145299196244,0.965,0.001
15,0.08012067347764969,0.97,0.001
16,0.06996060654520989,0.935,0.001
17,0.06838920425623655,0.97,0.001
18,0.08515289474278688,0.955,0.001
19,0.058209799267351627,0.975,0.001
20,0.04888980347663164,0.965,0.001
21,0.056132267732173204,0.965,0.001
22,0.04704617213457823,0.975,0.001
23,0.04902477007359266,0.955,0.001
24,0.05864734625443816,0.965,0.001
25,0.050989401247352364,0.98,0.001
26,0.031374312713742254,0.98,0.001
27,0.030976180974394082,0.99,0.001
28,0.040925259105861186,0.98,0.001
29,0.027455112393945456,0.995,0.001
30,0.03563771129585803,0.975,0.001
31,0.031897183873225,0.995,0.001
32,0.03415574181359261,0.985,0.001
33,0.03158332696650177,0.99,0.001
34,0.03171202054712921,0.975,0.001
35,0.021480703270062806,0.995,0.001
36,0.02212039878591895,0.99,0.001
37,0.020238439289387317,0.985,0.001
38,0.01858444418758154,0.995,0.001
39,0.031029027961194514,0.985,0.001
40,0.022231225692667066,0.985,0.001
41,0.0223442502040416,0.995,0.001
42,0.03188772358233109,0.97,0.001
43,0.03042304272763431,0.995,0.001
44,0.029408313194289805,0.995,0.001
45,0.01612257769331336,0.995,0.001
46,0.014934607145842166,0.995,0.001
47,0.0157604042859748,0.99,0.001
48,0.017362331375479698,0.995,0.001
49,0.020247411143500357,0.995,0.001
50,0.021351580128539355,0.995,0.001
51,0.024243067477364093,0.995,0.001
52,0.014754362292587758,0.995,0.001
53,0.02082741725258529,0.985,0.001
54,0.01748645176179707,0.99,0.001
55,0.019338073402177542,0.985,0.001
56,0.02098372356966138,1.0,0.001
57,0.012227759119123221,1.0,0.001
58,0.012523616444668732,0.995,0.001
59,0.011935965501470492,1.0,0.001
60,0.01890563117340207,0.975,0.001
61,0.02184654685901478,0.995,0.001
62,0.03592662987299264,0.99,0.001
63,0.020588360605179334,0.995,0.001
64,0.019982353925006465,0.995,0.001
65,0.011858349840622395,0.985,0.001
66,0.014931444006215315,0.995,0.001
67,0.011764096382539719,1.0,0.001
68,0.011166787770343944,0.995,0.001
69,0.013955502969911321,0.99,0.001
70,0.0161372722662054,0.995,0.001
71,0.011465976332547144,0.99,0.001
72,0.01160314894048497,1.0,0.001
73,0.012846712665632367,1.0,0.001
74,0.009166450490884017,1.0,0.001
75,0.006932080675614998,1.0,0.001
76,0.009009071342588867,1.0,0.001
77,0.009541586490959162,0.985,0.001
78,0.007439476538565941,1.0,0.001
79,0.008332440399099141,0.985,0.001
80,0.014214413661975414,1.0,0.001
81,0.006138943751429906,1.0,0.001
82,0.00664222051971592,1.0,0.001
83,0.005131624517962337,1.0,0.001
84,0.005932624392298749,1.0,0.001
85,0.004377294056175742,1.0,0.001
86,0.0055447530347737485,1.0,0.001
87,0.005653453760605771,1.0,0.001
88,0.004181422479159664,1.0,0.001
89,0.004578300515131559,1.0,0.001
90,0.00450150945878704,1.0,0.001
91,0.004856833775702399,1.0,0.001
92,0.0033087214111583306,1.0,0.001
93,0.002912869285210036,1.0,0.001
94,0.0035071878437520354,1.0,0.001
95,0.010010116224148078,1.0,0.001
96,0.003188668408074591,1.0,0.001
97,0.0033223672599342535,1.0,0.001
98,0.0028898932562151456,1.0,0.001
99,0.00338318428985076,0.995,0.001
100,0.005524226777124568,1.0,0.001
101,0.009299489007389639,0.995,0.001
102,0.00513618393066281,1.0,0.001
103,0.011031793542497326,1.0,0.001
104,0.0034148634980374483,1.0,0.001
105,0.0031147077948844525,0.995,0.001
106,0.005035631118130368,1.0,0.001
107,0.0038456463838519995,1.0,0.001
108,0.0022146759765746538,1.0,0.001
109,0.002609404686554626,1.0,0.001
110,0.0022334719560603844,1.0,0.001
111,0.003116112601892382,1.0,0.001
112,0.002035735662066145,1.0,0.001
113,0.0016917004756396637,1.0,0.001
114,0.0017716388569533593,1.0,0.001
115,0.0031162006458544055,0.995,0.001
116,0.0043130424550327,1.0,0.001
117,0.0011849270793209143,1.0,0.001
118,0.0023321968365121394,1.0,0.001
119,0.008060875707960803,0.99,0.001
120,0.012448951055412182,1.0,0.001
121,0.008563170656561852,0.99,0.001
122,0.004665731156492257,1.0,0.001
123,0.017029624465067172,0.95,0.001
124,0.03367355810463778,0.98,0.001
125,0.03449961679152693,1.0,0.001
126,0.011784352160611888,0.99,0.001
127,0.007167153956615948,1.0,0.001
128,0.002218096605647588,1.0,0.001
129,0.0024176169817246773,1.0,0.001
130,0.0029381041684791854,0.995,0.001
131,0.003679703067391529,1.0,0.001
132,0.0021555933165655007,0.995,0.001
133,0.0021478254820249277,1.0,0.001
134,0.002387210782035254,1.0,0.001
135,0.001632734175918813,1.0,0.001
136,0.003066917782125529,1.0,0.001
137,0.005036741435360454,1.0,0.001
138,0.003163417544656113,0.98,0.001
139,0.02753242494596634,0.995,0.001
140,0.017181815691874363,0.95,0.001
141,0.031376695272047075,0.985,0.001
142,0.01561977215387742,0.98,0.001
143,0.00830621657310985,1.0,0.001
144,0.006808678590459749,1.0,0.001
145,0.005047902165679261,1.0,0.001
146,0.005201762806391344,1.0,0.001
147,0.004035333787323907,0.995,0.001
148,0.0029398376547032966,1.0,0.001
149,0.002616756157076452,1.0,0.001
150,0.002671492092522385,1.0,0.001
