Column_1,Column_2,Column_3,Column_4,Column_5
0.36276,0.08495,0.19599,0.03053,0.04999
0.35664,0.08476,0.19819,0.03011,0.04829
0.35839,0.08419,0.18571,0.02969,0.04635
0.37063,0.08419,0.1884,0.02926,0.04635
0.35402,0.084,0.18742,0.02905,0.04562
0.35402,0.08457,0.19452,0.02884,0.04489
0.3549,0.08513,0.18449,0.02905,0.04441
0.35752,0.08476,0.18938,0.02905,0.04344
0.36014,0.08438,0.18938,0.02799,0.04295
0.35577,0.08513,0.18106,0.02757,0.04247
0.34528,0.08438,0.18571,0.02757,0.04174
0.36189,0.08381,0.18963,0.02757,0.04125
0.37063,0.08419,0.18571,0.02651,0.0398
0.36888,0.084,1.50061,0.02587,0.03931
0.35927,0.08438,2.73868,0.02566,0.03955
0.3715,3139.0785,3206.74089,2926.9084,0.0381
0.37238,3144.00834,3458.02545,2921.71332,2532.49211
0.36888,3127.98635,3477.11035,2917.55725,2417.1803
0.36626,3121.82404,3493.01444,2914.4402,2419.80102
0.36276,3126.75389,3513.68975,2921.71332,2417.1803
0.3715,3140.31096,3561.40201,2940.41561,2423.29532
0.36976,3153.86803,3621.83753,2944.57167,2430.28391
0.37762,3161.2628,3660.00734,2953.92282,2427.66319
0.36189,3166.19264,3679.09224,2961.19593,2429.41034
0.36189,3178.51725,3683.86347,2963.27396,2435.52536
0.37413,3190.84187,3680.68265,2967.43003,2441.64038
0.37937,3199.46909,3690.2251,2973.66412,2446.00825
0.37413,3206.86386,3699.76756,2978.8592,2448.62897
0.3715,3213.02617,3712.49082,2983.01527,2445.13468
0.37937,3224.11832,3712.49082,2983.01527,2447.7554
0.39685,3232.74554,3717.26205,2985.0933,2442.51395
0.38112,3242.60523,3712.49082,2988.21035,2442.51395
0.38636,3251.23246,3710.90042,2988.21035,2445.13468
0.39073,3256.16231,3712.49082,2988.21035,2452.12327
0.38462,3263.55707,3707.7196,2991.3274,2456.49114
0.38811,3269.71938,3706.12919,2997.56149,2459.98544
0.38462,0.0383,1.53731,0.07443,2464.35331
0.38724,0.05556,0.17739,0.10751,0.157
0.38899,0.05878,0.30389,0.10941,0.20141
0.40472,0.06921,0.33423,0.11493,0.22592
0.39685,0.0711,0.30022,0.11323,0.23392
0.38811,0.08324,0.41033,0.11238,0.21475
0.39685,0.08836,0.46831,0.1056,0.19995
0.39423,0.09044,0.45706,0.10199,0.18952
0.39423,0.08305,0.49034,0.09733,0.17835
0.39598,0.08362,0.51456,0.09563,0.16574
0.40822,0.07755,0.48764,0.09266,0.157
0.41171,0.08134,0.45608,0.09033,0.14826
0.41696,0.07964,0.30316,0.08715,0.14365
0.40997,0.07527,0.21899,0.08333,0.13662
