Column_1,Column_2,Column_3,Column_4,Column_5
0.10421,0.04389,0.01014,0.07291,0.06772
0.10336,0.04491,0.01004,0.07232,0.06744
0.10308,0.04389,0.01004,0.07145,0.06602
0.10167,0.04491,0.00993,0.07116,0.06517
0.09941,0.04389,0.01014,0.07057,0.06432
0.09884,0.04491,0.01025,0.0697,0.06546
0.09884,0.04491,0.01025,0.06853,0.06574
0.09856,0.04491,0.01035,0.06766,0.06602
0.09799,0.04491,0.01035,0.06562,0.06546
0.09715,0.04491,0.01035,0.06445,0.06432
0.09743,0.04491,0.01045,0.06387,0.06404
0.09687,0.04491,0.01045,0.06358,0.06489
0.09715,0.04491,0.01056,0.06358,0.06404
0.0963,0.04491,0.01056,0.06183,0.06291
0.55803,0.04491,0.01035,0.06066,0.06631
2506.07173,0.04491,0.01035,3123.35958,2450.69425
2432.36374,0.04491,0.01045,3171.65354,3036.83763
2422.19712,0.04491,0.01025,3176.90289,2996.17455
2406.09997,0.04491,0.01025,3166.4042,2968.40465
2406.94719,0.04389,0.01045,3164.30446,2939.64296
2417.11381,0.04491,0.01025,3156.95538,2939.64296
2412.87772,0.04389,0.01014,3158.00525,2927.74157
2411.18328,0.04491,0.01025,3159.05512,2921.79088
2415.41937,0.04389,0.01035,3172.70341,2909.88949
2425.58599,0.04389,0.01056,3177.95276,2909.88949
2441.68314,0.04389,0.01045,3187.40157,2899.97166
2447.61367,0.04389,0.01045,3190.55118,2900.96345
2451.84976,0.04389,0.01014,3193.70079,2900.96345
2448.46089,0.04389,0.01004,3188.45144,2903.93879
2444.2248,0.04389,0.01025,3194.75066,2916.83196
2438.29427,0.04389,0.01025,3195.80052,2935.67583
2432.36374,0.04389,0.01035,3194.75066,2939.64296
2437.44705,0.04389,0.01025,3200,2947.57722
2438.29427,0.04389,0.01035,3202.09974,2957.49504
2443.37758,0.04389,0.01025,3200,2956.50326
2367.12793,0.04389,0.01035,3212.59843,2958.48682
0.15984,0.04491,0.01056,0.11986,0.28167
0.18159,0.04389,0.01045,0.08895,0.10598
0.18187,0.04491,0.01056,0.13765,0.12496
0.17255,0.04491,0.01056,0.13765,0.15613
0.1813,0.04491,0.01056,0.13794,0.16492
0.19232,0.04491,0.01076,0.14523,0.16152
0.18893,0.04491,0.01076,0.15194,0.15217
0.19034,0.04491,0.01076,0.15252,0.1567
0.18978,0.04491,0.01066,0.15369,0.1567
0.19034,0.04389,0.01056,0.15661,0.155
0.18893,0.04389,0.01076,0.15573,0.1533
0.18498,0.04491,0.01076,0.15252,0.15103
0.18102,0.04491,0.01056,0.14786,0.14593
0.17792,0.04389,0.01066,0.14086,0.14253
