Column_1,Column_2,Column_3,Column_4,Column_5
0.66317,0.42853,6.35352,4.26185,0.07559
0.63313,0.42593,6.4292,3.69882,0.07665
0.59815,0.4243,6.45605,3.61809,0.0777
0.57551,0.423,6.39502,3.65535,0.0777
0.56029,0.42138,6.30957,3.74229,0.0777
0.55103,0.41943,6.37305,3.64914,0.0777
0.54506,0.41715,6.46338,3.5622,0.0777
0.53477,0.41455,6.36084,3.58911,0.0777
0.51975,0.41423,6.42432,3.61602,0.07876
0.51564,0.41261,6.52441,3.59739,0.07982
0.50947,0.41066,6.7002,3.56013,0.07982
0.49527,0.40903,6.82471,3.49803,0.07876
0.49362,0.40773,6.97119,3.51666,0.07876
0.49321,0.40578,8.1333,6.3401,0.0777
0.49588,0.40481,31.91016,32.65763,0.07665
2438.2716,2827.32294,3377.96875,3165.69033,1174.67711
2862.13992,3265.10721,3623.08594,3103.59139,1217.02308
2865.22634,3247.23847,3609.41406,3083.92672,1225.49227
2875.5144,3241.55296,3649.45313,3060.12213,1225.49227
2884.77366,3231.80637,3646.52344,3049.7723,1229.72687
2895.06173,3237.49188,3702.1875,3031.14262,1233.96147
2888.88889,3241.55296,3709.02344,3034.24757,1233.96147
2885.80247,3244.80182,3725.625,3032.1776,1238.19606
2885.80247,3252.11176,3771.52344,3025.96771,1238.19606
2882.71605,3256.98506,3789.10156,3031.14262,1242.43066
2875.5144,3258.60949,3844.76563,3034.24757,1246.66526
2876.54321,3263.48278,3871.13281,3031.14262,1246.66526
2874.4856,3271.60494,3888.71094,3038.3875,1250.89985
2868.31276,3276.47823,3928.75,3040.45746,1246.66526
2866.25514,3281.35153,3951.21094,3039.42248,1246.66526
2871.39918,3287.84925,3970.74219,3036.31753,1242.43066
2866.25514,3292.72255,3972.69531,3043.56241,1233.96147
2868.31276,3294.34698,3967.8125,3046.66736,1238.19606
2869.34156,3296.78363,3979.53125,3050.80729,1238.19606
2871.39918,3296.78363,3976.60156,3054.94722,1238.19606
2871.39918,3301.65692,3977.57813,3059.08715,1242.43066
2.53086,0.58512,17.62305,3.0385,0.03218
0.2642,0.49643,5.20361,2.04285,0.04796
0.27654,0.51917,5.19385,2.84392,0.05717
0.39362,0.53736,5.8335,3.01573,0.06394
0.54465,0.53444,6.33887,3.61395,0.07135
0.60617,0.53444,6.08252,3.83751,0.06818
0.73724,0.53606,5.63086,3.22687,0.06606
0.72778,0.53086,5.71143,2.98675,0.05971
0.81255,0.52632,6.01904,2.76527,0.05971
0.84177,0.52372,6.43652,3.00331,0.06712
0.7214,0.52242,6.48779,3.50838,0.06818
0.72778,0.52079,6.8833,3.81267,0.07029
0.69342,0.51754,6.69043,4.58063,0.06712
0.73313,0.51072,6.43652,4.90147,0.06818
