Column_1,Column_2,Column_3,Column_4,Column_5
0.12725,0.19515,0.1376,0.08783,0.08059
0.12571,0.19451,0.13968,0.08754,0.07971
0.12571,0.19483,0.13968,0.08611,0.08
0.12597,0.19388,0.13998,0.08553,0.07971
0.12622,0.19325,0.13998,0.08381,0.07941
0.12571,0.19199,0.1382,0.08352,0.07941
0.12674,0.19073,0.1379,0.08123,0.07706
0.12648,0.18947,0.13731,0.08037,0.07618
0.12622,0.18758,0.13553,0.07922,0.07706
0.12622,0.18726,0.13434,0.07836,0.07647
0.12725,0.18537,0.13345,0.0775,0.07529
0.12751,0.18506,0.13286,0.07778,0.07441
0.12803,0.18411,0.13227,0.07778,0.07471
0.12828,0.18348,0.13138,0.07692,0.07412
0.12416,0.22573,0.13078,0.09271,0.07471
4927.35703,2290.66835,2407.23606,2858.78301,3026.11765
4917.05307,2315.38462,2315.89561,3073.47876,3062.11765
4873.7764,2290.66835,2249.46619,3053.96096,3020.82353
4840.80371,2275.66204,2242.82325,3048.22044,2994.35294
4853.16847,2269.48298,2238.67141,3065.44202,2972.11765
4892.32354,2275.66204,2239.50178,3063.14581,2962.58824
4902.62751,2287.13745,2237.01068,3057.40528,2956.23529
4910.87069,2294.19924,2227.87663,3059.70149,2943.52941
4914.99227,2303.02648,2237.01068,3060.8496,2942.47059
4912.93148,2327.74275,2245.31435,3066.59013,2948.82353
4925.29624,2340.98361,2246.14472,3063.14581,2953.05882
4925.29624,2348.92812,2237.84104,3065.44202,2959.41176
4921.17465,2355.10719,2218.74259,3075.77497,2958.35294
4927.35703,2348.92812,2212.09964,3078.07118,2959.41176
4950.02576,2345.39723,2222.06406,3079.21929,2960.47059
4929.41783,2344.5145,2249.46619,3066.59013,2961.52941
4939.72179,2346.27995,2249.46619,3061.9977,2959.41176
4945.90417,2328.62547,2257.76987,3067.73823,2956.23529
4950.02576,2329.5082,2256.9395,3065.44202,2953.05882
4958.26893,2336.56999,2260.26097,3063.14581,2954.11765
4970.63369,2349.81084,2260.26097,3064.29392,2948.82353
0.10098,0.03689,0.13434,0.08123,0.02059
0.11901,0.06683,0.09698,0.13404,0.07294
0.13215,0.10214,0.12159,0.15901,0.12471
0.14297,0.14565,0.13909,0.14495,0.13206
0.14451,0.1611,0.1548,0.15356,0.13412
0.15121,0.16961,0.16489,0.16246,0.13971
0.15482,0.18852,0.17853,0.16303,0.15794
0.14967,0.19672,0.18209,0.15729,0.16794
0.14812,0.21059,0.17527,0.15499,0.15912
0.14116,0.21658,0.17883,0.1504,0.15118
0.14091,0.22068,0.17942,0.15155,0.14941
0.1355,0.21942,0.17883,0.14954,0.14324
0.12828,0.21753,0.18149,0.15126,0.14
0.12365,0.21658,0.18446,0.15098,0.13794
