Column_1,Column_2,Column_3,Column_4,Column_5
0.00311,0.00512,0.0047,0.03926,0.06915
0.00334,0.00535,0.0047,0.03754,0.06553
0.00311,0.00547,0.00481,0.03524,0.06653
0.00311,0.00547,0.0047,0.03524,0.06593
0.003,0.00547,0.00481,0.0341,0.06613
0.00311,0.00535,0.00458,0.03266,0.06553
0.00311,0.00535,0.00446,0.03209,0.06513
0.00311,0.00535,0.00458,0.03181,0.06251
0.00322,0.00535,0.00458,0.03066,0.06111
0.00311,0.00547,0.0047,0.02923,0.05869
0.00311,0.00512,0.0047,0.02808,0.05749
0.00322,0.00535,0.00493,0.02636,0.05568
0.003,0.00547,0.00505,0.02579,0.05387
0.00267,0.00547,0.00493,0.0255,0.05286
0.00256,0.00547,0.00493,0.14814,0.05347
0.00278,0.00547,0.00493,3034.95702,1647.63819
0.00267,0.00558,0.00505,3162.40688,2382.11055
0.00311,0.0057,0.00493,3193.58166,2358.89447
0.00289,0.0057,0.00493,3209.16905,2353.96985
0.003,0.0057,0.00481,3218.33811,2343.41709
0.003,0.00558,0.0047,3226.59026,2340.60302
0.00289,0.00558,0.00458,3237.59312,2346.23116
0.00311,0.00581,0.00446,3255.93123,2344.1206
0.00289,0.00558,0.00446,3276.10315,2341.30653
0.00267,0.00547,0.0047,3283.4384,2344.1206
0.00278,0.00547,0.00481,3290.77364,2344.82412
0.00278,0.00547,0.00481,3290.77364,2338.49246
0.00289,0.00535,0.0047,3288.93983,2337.78894
0.00334,0.00547,0.00481,3289.85673,2337.08543
0.00345,0.00535,0.00481,3293.52436,2335.67839
0.004,0.00535,0.00481,3294.44126,2330.05025
0.003,0.00547,0.00481,3290.77364,2327.9397
0.00311,0.0057,0.00505,3295.35817,2330.75377
0.00278,0.0057,0.00481,3304.52722,2331.45729
0.00256,0.00558,0.00481,3313.69628,2332.1608
0.00278,0.00535,0.00481,3321.03152,2329.34673
0.00334,0.00547,0.00481,0.1384,0.13608
0.00311,0.00535,0.0047,0.15072,0.17849
0.00322,0.00547,0.00493,0.16275,0.17206
0.003,0.00523,0.0047,0.16447,0.18492
0.00267,0.00523,0.0047,0.15559,0.1994
0.00245,0.00535,0.00458,0.15473,0.21266
0.00256,0.00523,0.0047,0.14957,0.21528
0.00278,0.005,0.00458,0.14069,0.2203
0.00322,0.00488,0.00446,0.13725,0.21849
0.00345,0.00488,0.00458,0.13754,0.20804
0.00389,0.00512,0.00458,0.13238,0.2002
0.00367,0.00512,0.00458,0.12665,0.2008
0.00367,0.00523,0.00458,0.12092,0.21005
0.00311,0.00512,0.00458,0.11576,0.21226
