Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
1.435e-06,1.2086783702301154e-06,1.4456857898495272e-06,1.691e-06,5.60309e-07,1.102e-06,1.00299e-06
1.409e-06,3.2412053251525143e-06,1.6525712465895093e-06,1.698e-06,5.51031e-07,1.107e-06,1.04639e-06
1.324e-06,4.5582071671448787e-07,6.473438099224204e-07,1.697e-06,5.51753e-07,1.057e-06,1.06082e-06
1.127e-06,9.443104615221518e-07,2.6703740432281312e-06,1.695e-06,5.48557e-07,1.11e-06,1.06701e-06
1.023e-06,3.062233070530608e-06,1.9065770017243614e-06,1.696e-06,5.40412e-07,1.236e-06,1.05361e-06
1.067e-06,1.8439341567751718e-06,2.6718239789598886e-06,1.696e-06,5.43608e-07,1.358e-06,1.06289e-06
1.078e-06,6.017403252551179e-07,3.923085923312862e-06,1.688e-06,5.30825e-07,1.41e-06,1.05773e-06
9.788e-07,1.4502556890714872e-06,5.041141937449178e-07,1.69e-06,5.36598e-07,1.424e-06,1.0433e-06
9.611e-07,2.479306025702523e-06,1.4323935604592343e-06,1.689e-06,5.35876e-07,1.428e-06,1.00196e-06
9.745e-07,2.6410600262296866e-06,1.3033320032220042e-07,1.681e-06,5.42371e-07,1.404e-06,9.90722e-07
9.075e-07,3.6001072694620116e-06,3.1324511691517475e-06,1.686e-06,5.4732e-07,1.379e-06,9.76082e-07
9e-07,1.607702169640055e-06,2.2451764515968974e-08,1.681e-06,5.50412e-07,1.384e-06,9.51959e-07
8.998e-07,1.1719793945423492e-06,2.635186550760063e-06,1.678e-06,5.51134e-07,1.368e-06,9.51237e-07
7.474e-07,2.8426867435707386e-06,6.969371288651941e-07,1.681e-06,5.44536e-07,1.368e-06,9.78866e-07
7.636e-07,3.761098491753445e-06,5.338047146690039e-08,1.676e-06,5.51753e-07,1.377e-06,1.02701e-06
6.729e-07,1.0224127226908637e-06,8.090800812329708e-07,1.667e-06,5.50412e-07,1.384e-06,9.7e-07
7.004e-07,3.9721106381701735e-06,9.515152459558873e-08,1.666e-06,5.54845e-07,1.358e-06,9.57629e-07
7.59e-07,1.992478437228267e-06,3.738155788353975e-06,1.665e-06,5.6134e-07,1.339e-06,9.60103e-07
7.278e-07,2.6583583057169483e-06,2.942374333650006e-07,5.052e-06,5.59897e-07,1.33e-06,9.1134e-07
7.484e-07,2.841959418287843e-06,3.4539367146840533e-06,1.518e-05,5.59588e-07,1.339e-06,9.01753e-07
6.978e-07,1.988075098944308e-06,3.398277438024213e-06,0.0003717,5.55567e-07,1.33e-06,8.78351e-07
7.682e-07,1.5039334624534616e-06,3.7401621445421812e-06,0.0004723,5.61649e-07,1.307e-06,8.97732e-07
7.361e-07,3.6993985436319946e-06,3.1999209726828952e-06,0.0004707,5.62165e-07,1.301e-06,8.84124e-07
7.334e-07,2.8134382188582595e-06,1.5597020438415056e-06,0.0004678,5.72577e-07,1.299e-06,8.75258e-07
7.008e-07,1.0694515968135714e-06,3.4930022422485526e-06,0.000463,5.75464e-07,1.3e-06,8.95464e-07
7.085e-07,6.038967487889924e-08,4.43447099707694e-07,0.0001199,5.72165e-07,1.308e-06,9.34845e-07
6.963e-07,5.032547287161514e-07,9.273082412375171e-07,2.087e-06,5.72062e-06,1.306e-06,9.59588e-07
6.657e-07,3.996816627832902e-06,1.2804900360688006e-06,2.589e-07,1.63299e-05,1.305e-06,9.76907e-07
6.745e-07,1.2700892292689286e-06,2.4278189746215937e-06,2.447e-07,0.00039567,1.296e-06,9.85876e-07
6.62e-07,5.940798452684719e-07,3.3104064043954734e-06,1.87e-07,0.000476598,1.3e-06,9.7701e-07
7.035e-07,7.444929677567508e-07,9.973277125707339e-07,1.768e-07,0.000472784,1.295e-06,9.82268e-07
6.942e-07,3.5868905211583216e-06,1.746416868683811e-07,2.093e-07,0.000469588,1.289e-06,9.38763e-07
6.996e-07,2.782776509817781e-06,3.6010572079615357e-06,1.122e-06,0.000463918,1.282e-06,8.88144e-07
6.548e-07,7.721450062839117e-07,2.0617385005591675e-06,2.119e-06,8.88041e-05,1.284e-06,9.16804e-07
6.477e-07,2.0047222343108226e-06,3.4139175005948856e-06,5.111e-06,3.57938e-06,1.277e-06,9.06701e-07
6.472e-07,3.7060270654344034e-06,1.1199747163201614e-06,3.845e-06,4.17938e-07,5.586e-06,8.98866e-07
6.534e-07,1.1526390209596114e-08,1.3053227053944583e-06,3.852e-06,3.31959e-07,1.367e-05,8.92268e-07
6.507e-07,2.041789703659035e-06,2.496373880312083e-06,2.3e-06,2.38144e-07,0.0003837,8.82371e-07
6.489e-07,2.7128798245901236e-06,1.2468073086713644e-06,1.275e-06,5.77629e-07,0.0004699,8.78454e-07
6.52e-07,2.5693089393174815e-06,2.990803211480393e-07,1.522e-06,1.63402e-06,0.0004666,9.09072e-07
6.468e-07,3.83817657235016e-06,3.099025191456466e-07,1.517e-06,3.60619e-06,0.0004638,9.21134e-07
6.512e-07,1.4212021404741862e-06,3.837662938159325e-06,1.473e-06,4.01237e-06,0.0004565,9.35361e-07
6.628e-07,6.83868418626687e-07,2.7353344457151247e-06,1.652e-06,3.62577e-06,7.823e-05,9.44433e-07
6.614e-07,1.1687050406738608e-07,1.6036330160186645e-06,1.669e-06,6.07629e-06,2.839e-06,1.01299e-05
6.579e-07,3.510540254879757e-06,6.365887189970553e-07,1.67e-06,5.92062e-06,4.131e-07,4.57629e-05
6.841e-06,7.946176412620342e-07,1.2622959105147599e-06,1.672e-06,3.56392e-06,2.867e-07,0.000475773
2.462e-05,3.1419750950231993e-07,3.3681527018806877e-06,1.668e-06,6.84124e-07,2.204e-07,0.000502371
0.0004006,7.680927466691685e-07,2.193599421086996e-06,1.664e-06,7.95773e-07,3.869e-07,0.000497835
0.0004431,2.4315592978332163e-06,1.9292640328846127e-06,1.662e-06,6.34021e-07,9.161e-07,0.000492887
